year,variable,decile,Argentina,Bolivia,Brazil,Chile,Colombia,Dominican R.,Honduras,Mexico,Peru,Uruguay
2023,inc_dist_cedlas,1,0.0192,0.0176,0.0126,0.0227,0.0111,0.0243,0.0115,0.0212,0.0198,0.0211
2023,inc_dist_cedlas,2,0.0321,0.0342,0.0243,0.0359,0.0228,0.0399,0.0248,0.0348,0.0352,0.0345
2023,inc_dist_cedlas,3,0.0428,0.0446,0.034,0.0451,0.0317,0.0506,0.0365,0.0444,0.0466,0.0457
2023,inc_dist_cedlas,4,0.054,0.0555,0.0438,0.0541,0.0407,0.0608,0.0489,0.0541,0.0577,0.057
2023,inc_dist_cedlas,5,0.0672,0.0671,0.0555,0.0642,0.0512,0.0719,0.0612,0.0642,0.0696,0.069
2023,inc_dist_cedlas,6,0.082,0.0811,0.0693,0.0758,0.0642,0.0841,0.0789,0.0767,0.0828,0.0824
2023,inc_dist_cedlas,7,0.1008,0.0993,0.0846,0.0905,0.0819,0.1,0.1006,0.0923,0.0992,0.0986
2023,inc_dist_cedlas,8,0.126,0.1232,0.1094,0.1124,0.1091,0.1218,0.1295,0.1143,0.1228,0.1224
2023,inc_dist_cedlas,9,0.1673,0.1644,0.1585,0.1541,0.1605,0.1561,0.1781,0.1541,0.1601,0.1615
2023,inc_dist_cedlas,10,0.3087,0.3129,0.408,0.3453,0.4267,0.2907,0.33,0.3439,0.3061,0.3078
2018,pit_incid_lacir,1,0,0,0,0,0,0,0,0.002,0,0
2018,pit_incid_lacir,2,0,0,0,0,0,0,0,0.003,0,0
2018,pit_incid_lacir,3,0,0,0,0,0,0,0,0.006,0,0
2018,pit_incid_lacir,4,0,0,0,0,0,0,0,0.008,0,0.001
2018,pit_incid_lacir,5,0.001,0,0,0,0,0,0,0.011,0,0.003
2018,pit_incid_lacir,6,0.003,0,0.001,0.001,0,0,0,0.014,0,0.006
2018,pit_incid_lacir,7,0.004,0,0.002,0.002,0,0.002,0,0.018,0.002,0.011
2018,pit_incid_lacir,8,0.007,0,0.005,0.003,0,0.005,0,0.022,0.005,0.02
2018,pit_incid_lacir,9,0.012,0.001,0.014,0.005,0,0.01,0.005,0.029,0.009,0.034
2018,pit_incid_lacir,10,0.043,0.005,0.052,0.031,0.03,0.024,0.044,0.056,0.048,0.092
2023,pit_rev_gdp_pct,total,0.022,0.003,0.031,0.019,0.015,0.015,0.022,0.037,0.018,0.04
